	user	real	kernel
GEN_EXT_FORC_TO	0.09	0.05	0
GEN_EXT_FORC_TXTYTZ	0.05	0.02	0
GEN_INERT_FORC	0.14	0.02	0
GEN_INERT_FORC_TO	0.11	0	0
GEN_INTER_FORC_TO	0.39	0.1	0
GEN_INTER_FORC_TXTYTZ	0.63	0.17	0
Metafor	10.2	8.24	0.65
ObjectiveFunction	0	0.02	0
ValuesManager	0.11	0.1	0
buildK_TO	0.28	0.12	0
buildK_TXTYTZ	1.07	0.35	0.01
contactDetection	0.07	0.05	0.01
prepro	3.07	3.13	0.24
saveFacs	0.37	0.33	0.26
solveK_TO	1.69	1.7	0
solveK_TXTYTZ	1.44	1.44	0
